"fp","target","rank","repeat"
"rf_rdk7","644","1","50"
"rf_rdk7","652","1","1"
"rf_rdk7","652","1","2"
"rf_rdk7","652","1","3"
"rf_rdk7","652","1","4"
"rf_rdk7","652","1","5"
"rf_rdk7","652","1","6"
"rf_rdk7","652","1","7"
"rf_rdk7","652","1","8"
"rf_rdk7","652","1","9"
"rf_rdk7","652","1","10"
"rf_rdk7","652","1","11"
"rf_rdk7","652","1","12"
"rf_rdk7","652","1","13"
"rf_rdk7","652","1","14"
"rf_rdk7","652","1","15"
"rf_rdk7","652","1","16"
"rf_rdk7","652","1","17"
"rf_rdk7","652","1","18"
"rf_rdk7","652","1","19"
"rf_rdk7","652","1","20"
"rf_rdk7","652","1","21"
"rf_rdk7","652","1","22"
"rf_rdk7","652","1","23"
"rf_rdk7","652","1","24"
"rf_rdk7","652","1","25"
"rf_rdk7","652","1","26"
"rf_rdk7","652","1","27"
"rf_rdk7","652","1","28"
"rf_rdk7","652","1","29"
"rf_rdk7","652","1","30"
"rf_rdk7","652","1","31"
"rf_rdk7","652","1","32"
"rf_rdk7","652","1","33"
"rf_rdk7","652","1","34"
"rf_rdk7","652","1","35"
"rf_rdk7","652","1","36"
"rf_rdk7","652","1","37"
"rf_rdk7","652","1","38"
"rf_rdk7","652","1","39"
"rf_rdk7","652","1","40"
"rf_rdk7","652","1","41"
"rf_rdk7","652","1","42"
"rf_rdk7","652","1","43"
"rf_rdk7","652","1","44"
"rf_rdk7","652","1","45"
"rf_rdk7","652","1","46"
"rf_rdk7","652","1","47"
"rf_rdk7","652","1","48"
"rf_rdk7","652","1","49"
"rf_rdk7","652","1","50"
"rf_rdk7","689","1","1"
"rf_rdk7","689","1","2"
"rf_rdk7","689","1","3"
"rf_rdk7","689","1","4"
"rf_rdk7","689","1","5"
"rf_rdk7","689","1","6"
"rf_rdk7","689","1","7"
"rf_rdk7","689","1","8"
"rf_rdk7","689","1","9"
"rf_rdk7","689","1","10"
"rf_rdk7","689","1","11"
"rf_rdk7","689","1","12"
"rf_rdk7","689","1","13"
"rf_rdk7","689","1","14"
"rf_rdk7","689","1","15"
"rf_rdk7","689","1","16"
"rf_rdk7","689","1","17"
"rf_rdk7","689","1","18"
"rf_rdk7","689","1","19"
"rf_rdk7","689","1","20"
"rf_rdk7","689","1","21"
"rf_rdk7","689","1","22"
"rf_rdk7","689","1","23"
"rf_rdk7","689","1","24"
"rf_rdk7","689","1","25"
"rf_rdk7","689","1","26"
"rf_rdk7","689","1","27"
"rf_rdk7","689","1","28"
"rf_rdk7","689","1","29"
"rf_rdk7","689","1","30"
"rf_rdk7","689","1","31"
"rf_rdk7","689","1","32"
"rf_rdk7","689","1","33"
"rf_rdk7","689","1","34"
"rf_rdk7","689","1","35"
"rf_rdk7","689","1","36"
"rf_rdk7","689","1","37"
"rf_rdk7","689","1","38"
"rf_rdk7","689","1","39"
"rf_rdk7","689","1","40"
"rf_rdk7","689","1","41"
"rf_rdk7","689","1","42"
"rf_rdk7","689","1","43"
"rf_rdk7","689","1","44"
"rf_rdk7","689","1","45"
"rf_rdk7","689","1","46"
"rf_rdk7","689","1","47"
"rf_rdk7","689","1","48"
"rf_rdk7","689","1","49"
"rf_rdk7","689","1","50"
"rf_rdk7","692","1","1"
"rf_rdk7","692","1","2"
"rf_rdk7","692","1","3"
"rf_rdk7","692","1","4"
"rf_rdk7","692","1","5"
"rf_rdk7","692","1","6"
"rf_rdk7","692","1","7"
"rf_rdk7","692","1","8"
"rf_rdk7","692","1","9"
"rf_rdk7","692","1","10"
"rf_rdk7","692","1","11"
"rf_rdk7","692","1","12"
"rf_rdk7","692","1","13"
"rf_rdk7","692","1","14"
"rf_rdk7","692","1","15"
"rf_rdk7","692","1","16"
"rf_rdk7","692","1","17"
"rf_rdk7","692","1","18"
"rf_rdk7","692","1","19"
"rf_rdk7","692","1","20"
"rf_rdk7","692","1","21"
"rf_rdk7","692","1","22"
"rf_rdk7","692","1","23"
"rf_rdk7","692","1","24"
"rf_rdk7","692","1","25"
"rf_rdk7","692","1","26"
"rf_rdk7","692","1","27"
"rf_rdk7","692","1","28"
"rf_rdk7","692","1","29"
"rf_rdk7","692","1","30"
"rf_rdk7","692","1","31"
"rf_rdk7","692","1","32"
"rf_rdk7","692","1","33"
"rf_rdk7","692","1","34"
"rf_rdk7","692","1","35"
"rf_rdk7","692","1","36"
"rf_rdk7","692","1","37"
"rf_rdk7","692","1","38"
"rf_rdk7","692","1","39"
"rf_rdk7","692","1","40"
"rf_rdk7","692","1","41"
"rf_rdk7","692","1","42"
"rf_rdk7","692","1","43"
"rf_rdk7","692","1","44"
"rf_rdk7","692","1","45"
"rf_rdk7","692","1","46"
"rf_rdk7","692","1","47"
"rf_rdk7","692","1","48"
"rf_rdk7","692","1","49"
"rf_rdk7","692","1","50"
"rf_rdk7","712","1","1"
"rf_rdk7","712","1","2"
"rf_rdk7","712","1","3"
"rf_rdk7","712","1","4"
"rf_rdk7","712","1","5"
"rf_rdk7","712","1","6"
"rf_rdk7","712","1","7"
